tCommon,wGO,wPS,wSi,wPR,wTGA
438.383838383838,0.56608159658763,0.00580978867711702,1,0.633343736483151,0.634553927849735
443.434343434343,0.564653382566438,0.0032083752585045,1,0.632702582263654,0.633480569451467
448.484848484848,0.563223716302479,0.0025638862726452,1,0.632162105621532,0.632784316571612
453.535353535354,0.561844070436616,0.00235858469471204,1,0.63169713690933,0.632192835020726
458.585858585859,0.560507149222214,0.00207227985068621,1,0.631435642647248,0.631602809700068
463.636363636364,0.559067724802443,0.0019959791561362,1,0.63173209650588,0.631012313898111
468.686868686869,0.557819177048638,0.00176370139712792,1,0.635042890519312,0.630468065189101
473.737373737374,0.557004400553657,0.0015117527203427,1,0.632329904204385,0.630093528496489
478.787878787879,0.555257422743236,0.00128769701822792,1,0.631461966094235,0.629351494621812
483.838383838384,0.553719890670548,0.00100581365809358,1,0.631020179346253,0.628682078304232
